date,close,NYSE close
1-Jan-95,755.3224948,2679.487427
1-Feb-95,775.7774965,2753.164978
1-Mar-95,807.9524995,2823.107422
1-Apr-95,828.837494,2901.429932
1-May-95,858.662491,2979.569946
1-Jun-95,901.0325013,3059.907532
1-Jul-95,972.5550078,3144.179993
1-Aug-95,1006.919983,3177.540039
1-Sep-95,1035.407501,3262.127503
1-Oct-95,1021.865021,3290.122559
1-Nov-95,1045.472519,3356.152466
1-Dec-95,1047.292511,3459.512451
1-Jan-96,1037.555008,3524.172425
1-Feb-96,1084.505005,3636.88501
1-Mar-96,1094.512482,3654.785034
1-Apr-96,1144.899994,3683.57251
1-May-96,1212.482514,3746.880005
1-Jun-96,1207.357514,3795.465027
1-Jul-96,1118.177506,3706.542542
1-Aug-96,1114.287506,3714.735047
1-Sep-96,1180.15503,3796.130005
1-Oct-96,1229.304993,3936.547546
1-Nov-96,1257.077484,4083.17749
1-Dec-96,1291.44751,4148.684998
1-Jan-97,1336.342499,4239.647461
1-Feb-97,1343.589997,4398.1427
1-Mar-97,1270.162476,4340.88501
1-Apr-97,1233.402527,4290.687378
1-May-97,1334.862488,4533.434815
1-Jun-97,1422.969971,4789.900025
1-Jul-97,1516.160034,5078.084961
1-Aug-97,1591.345001,5095.375122
1-Sep-97,1644.579956,5171.477417
1-Oct-97,1624.755005,5180.174927
1-Nov-97,1593.252533,5211.555054
1-Dec-97,1579.565003,5354.407593
1-Jan-98,1572.152496,5348.669922
1-Feb-98,1708.59253,5630.405029
1-Mar-98,1790.92749,5901.9375
1-Apr-98,1856.782501,6086.369995
1-May-98,1820.882538,6063.637451
1-Jun-98,1819.692505,6024.199952
1-Jul-98,1919.132508,6124.542359
1-Aug-98,1685.502503,5506.215088
1-Sep-98,1612.012482,5322.974976
1-Oct-98,1640.047516,5429.927612
1-Nov-98,1882.422516,5966.172607
1-Dec-98,2061.494965,6134.667603
1-Jan-99,2353.197449,6309.052613
1-Feb-99,2392.014954,6240.534912
1-Mar-99,2376.012451,6315.637573
1-Apr-99,2510.890076,6575.669922
1-May-99,2497.177551,6692.670044
1-Jun-99,2553.772583,6706.494995
1-Jul-99,2706.362488,6784.609985
1-Aug-99,2659.945008,6558.354981
1-Sep-99,2770.179993,6402.947632
1-Oct-99,2826.527466,6396.022461
1-Nov-99,3186.017456,6662.137573
1-Dec-99,3705.647583,6779.90503
1-Jan-00,4035.195007,6668.929932
1-Feb-00,4317.015015,6406.440064
1-Mar-00,4698.464966,6577.152466
1-Apr-00,4038.857483,6810.829956
1-May-00,3589.03241,6823.650024
1-Jun-00,3742.910034,6857.167359
1-Jul-00,3905.607544,6856.482544
1-Aug-00,3924.292481,6993.755005
1-Sep-00,3949.875,7063.359864
1-Oct-00,3456.174988,6937.374878
1-Nov-00,2979.372498,6836.257568
1-Dec-00,2607.880005,6802.159912
1-Jan-01,2597.73999,6895.157471
1-Feb-01,2461.94751,6828.194947
1-Mar-01,2001.137512,6414.052491
1-Apr-01,1943.475006,6433.690064
1-May-01,2151.797485,6816.59253
1-Jun-01,2132.485046,6694.757446
1-Jul-01,2074.902527,6528.219971
1-Aug-01,1934.315003,6369.324951
1-Sep-01,1631.085022,5887.320068
1-Oct-01,1608.232483,5807.672607
1-Nov-01,1821.294983,6025.492432
1-Dec-01,1957.549988,6155.867554
1-Jan-02,1962.394989,6160.625
1-Feb-02,1824.755005,6056.234986
1-Mar-02,1819.787476,6310.459961
1-Apr-02,1757.289978,6183.967529
1-May-02,1654.777496,6085.867432
1-Jun-02,1518.434998,5750.630005
1-Jul-02,1359.390015,5219.797607
1-Aug-02,1317.440003,5138.330078
1-Sep-02,1245.517517,4915.409912
1-Oct-02,1241.519989,4854.954956
1-Nov-02,1402.722473,5128.050049
1-Dec-02,1423.019958,5104.335083
1-Jan-03,1359.70752,5009.965088
1-Feb-03,1319.029999,4772.369995
1-Mar-03,1341.082489,4709.005005
1-Apr-03,1408.142517,4935.762451
1-May-03,1527.537506,5268.202515
1-Jun-03,1626.424988,5528.739868
1-Jul-03,1681.835022,5542.420044
1-Aug-03,1749.194977,5582.920044
1-Sep-03,1825.514984,5694.11499
1-Oct-03,1873.059967,5807.63501
1-Nov-03,1942.977509,6008.76001
1-Dec-03,1969.757477,6269.875
1-Jan-04,2057.707489,6533.527466
1-Feb-04,2046.97995,6635.732544
1-Mar-04,1999.267517,6613.532593
1-Apr-04,1978.777527,6545.314942
1-May-04,1943.182495,6425.869995
1-Jun-04,2010.554993,6540.080078
1-Jul-04,1951.870026,6471.029907
1-Aug-04,1839.244995,6384.097534
1-Sep-04,1872.347473,6527.267456
1-Oct-04,1942.022492,6618.45752
1-Nov-04,2039.87497,6864.98999
1-Dec-04,2140.860046,7123.882569
1-Jan-05,2111.860016,7148.03003
1-Feb-05,2060.359986,7215.990112
1-Mar-05,2031.462494,7252.41748
1-Apr-05,1960.597473,7085.152466
1-May-05,1996.070007,7058.287476
1-Jun-05,2067.612488,7208.594849
1-Jul-05,2124.372498,7349.61499
1-Aug-05,2168.934998,7481.140015
1-Sep-05,2145.402527,7567.14502
